Tweet,Author,Date,Sentiment Polarity,label
"RT @charliekirk11: Lisa Murkowski, you represent a state that Trump won by 15 points

You campaigned on conservative values &amp; putting stron…",2CHAI,2018-10-05 15:32:11,0.0,neutral
"RT @Solmemes1: Maybe Trump was being a bit harsh to Da Nanag Dick about his  record.....Here is footage of his bravery....

@SenBlumenthal…",Anhony🇺🇸 🇺🇸KAG,2018-10-05 15:32:11,-0.2,negative
"RT @charliekirk11: Lisa Murkowski, you represent a state that Trump won by 15 points

You campaigned on conservative values &amp; putting stron…",Tim Cochran,2018-10-05 15:32:11,0.0,neutral
"@GinnyMac55 @AngryBlackLady No. How do we take the senate back if he loses, even if he votes with trump sometimes?… https://t.co/S9PK3Gm3lE",Pring,2018-10-05 15:32:11,-0.15,negative
"RT @kylegriffin1: Trump is attacking the anti-Kavanuagh protesters, calling them ""paid professionals"" without any evidence that's the case.…",John Trobaugh,2018-10-05 15:32:11,0.0,neutral
RT @JudicialWatch: JW filed a FOIA lawsuit w/ the CIA (previously run by Obama-appointee John Brennan) for answers on discussions with form…,Aunty Peg,2018-10-05 15:32:10,-0.16666666666666666,negative
RT @OhNoSheTwitnt: Trump just claimed Soros paid all the people protesting Kavanaugh to do it because you can’t truly be Hitler until you b…,Dahling,2018-10-05 15:32:10,0.0,neutral
"RT @girlsreallyrule: Heads up: this is the line being used by all the Trump trolls today, so don't get distracted and don't bite. #Kavanaug…",polgaraisfree,2018-10-05 15:32:10,0.0,neutral
"RT @Mike_Beacham: Anti-Trump, Far-Left California Judge Shows Why Judicial Nominations Matter 
#DrainTheSwamp 
#ConfirmJudgeKavanaughNOW 
#…",Deplorable  1,2018-10-05 15:32:10,0.0,neutral
A Lava Jato pariu no RN https://t.co/r1C18YepM1,Militant Trump 🇧🇷 🇺🇸 17,2018-10-05 15:32:10,0.0,neutral
RT @nowthisnews: Trump tried to paint Dr. Ford as forgetful — but her testimony already proved him wrong https://t.co/TL4mmRIHYc,αisyαh,2018-10-05 15:32:10,-0.3,negative
"RT @_SJPeace_: In other news: Today, Trump boarded Air Force One with toilet paper stuck to his shoe.

I CAN'T BREATHE 😂

RETWEET! https://…",root,2018-10-05 15:32:10,-0.08333333333333333,negative
"RT @CREWcrew: If Trump were innocent, wouldn’t he want to show the public his tax returns to clear his name? 
https://t.co/CKF7yfUWNf",Karma Girl,2018-10-05 15:32:10,0.19999999999999998,positive
RT @jarringcreation: @barryaptt @KamalaHarris It's not a coincidence that in Feb 17  Sessions rescinded an Obama order to stop using them a…,Kim Smith,2018-10-05 15:32:10,0.0,neutral
@BreitbartNews Colorado isn't an anti trump state. Boulder and ft Collins is anti trump. They don't speak for the w… https://t.co/mmfXQbbEYC,Kristina,2018-10-05 15:32:10,0.0,neutral
